Date,Weighted_Average_Score
2010-07-15,1.75936855
2010-07-16,2.01350479
2010-07-19,1.7051445199999997
2010-07-20,2.26808415
2010-07-21,2.45081841
2010-07-22,3.0519412900000003
2010-07-23,1.80494544
2010-07-26,2.20152803
2010-07-27,2.50998547
2010-07-28,2.75803101
2010-07-29,1.7169991800000002
2010-08-02,2.05193378
2010-08-03,2.17811576
2010-08-04,2.68942446
2010-08-05,2.49334377
2010-08-06,1.68777264
2010-08-09,1.9737519
2010-08-10,1.9608398900000001
2010-08-11,2.24254406
2010-08-12,2.6884408300000002
2010-08-13,2.3164187899999997
2010-08-16,2.85098664
2010-08-17,2.87066408
2010-08-18,1.7552898300000002
2010-08-19,1.98256246
2010-08-20,3.3768008800000002
2010-08-23,2.7610585600000004
2010-08-24,2.38769623
2010-08-25,2.0794154799999998
2010-08-26,1.9114036699999999
2010-08-27,1.6085867900000002
2010-08-30,1.96857559
2010-08-31,2.6097924700000004
2010-09-02,2.68885605
2010-09-03,3.41084152
2010-09-07,2.23862398
2010-09-08,2.6856644100000002
2010-09-09,2.52908058
2010-09-10,3.15739808
2010-09-13,3.2461133999999996
2010-09-14,4.1516408700000005
2010-09-15,2.46520879
2010-09-16,2.9023129400000003
2010-09-17,3.29498154
2010-09-20,4.60302104
2010-09-21,2.0149124
2010-09-22,2.9206247
2010-09-23,2.4422413400000003
2010-09-24,2.25451995
2010-09-28,2.8329264400000005
2010-09-29,3.3565331699999996
2010-09-30,3.28197628
2010-10-01,3.13335726
2010-10-04,2.80502179
2010-10-05,2.0823468800000002
2010-10-06,1.63157305
2010-10-07,1.9991930900000001
2010-10-08,2.34101174
2010-10-11,1.7441329300000001
2010-10-12,1.99261647
2010-10-13,2.32344692
2010-10-15,2.0975195
2010-10-18,2.1995423899999995
2010-10-19,2.24938708
2010-10-20,3.35248338
2010-10-21,2.7297426099999997
2010-10-25,2.33737527
2010-10-26,1.79909136
2010-10-27,3.7140566799999997
2010-10-28,3.69181236
2010-10-29,1.93617333
2010-11-01,1.6069174399999997
2010-11-02,3.40104793
2010-11-03,3.24017939
2010-11-05,3.25948781
2010-11-08,4.03283624
2010-11-09,4.32794159
2010-11-10,2.2287409
2010-11-11,3.45610915
2010-11-12,2.28817955
2010-11-15,1.64604868
2010-11-16,3.6560856399999997
2010-11-17,3.2053978699999996
2010-11-18,3.25033865
2010-11-19,2.33809997
2010-11-22,2.8942648099999997
2010-11-23,2.15998294
2010-11-24,3.7980902299999997
2010-11-26,2.7407846199999994
2010-11-29,1.8328973
2010-11-30,1.91887978
2010-12-01,2.42821106
2010-12-02,2.07974485
2010-12-03,2.4564878300000004
2010-12-06,2.87765366
2010-12-07,2.79759466
2010-12-08,1.61375308
2010-12-09,1.62949972
2010-12-10,3.3036698299999996
2010-12-13,3.4611898499999993
2010-12-14,3.90668669
2010-12-15,3.9310661499999995
2010-12-16,2.09679195
2010-12-17,2.06258924
2010-12-20,2.56841686
2010-12-21,1.4831473800000001
2010-12-22,2.3869831
2010-12-23,3.3369052299999993
2010-12-27,1.82567415
2010-12-28,2.91038149
2010-12-29,3.8986607500000003
2010-12-30,4.48813255
2010-12-31,3.4799616999999996
2011-01-04,3.7081196100000002
2011-01-05,3.2043705300000003
2011-01-06,3.72494016
2011-01-07,2.62417852
2011-01-10,2.07144038
2011-01-11,2.93933431
2011-01-12,3.69638041
2011-01-14,2.58651066
2011-01-18,2.4529420799999997
2011-01-19,2.5365534199999997
2011-01-20,3.62018723
2011-01-21,2.9646396900000003
2011-01-24,3.05656541
2011-01-25,3.15480277
2011-01-27,2.31206925
2011-01-28,3.2782978500000004
2011-01-31,2.18600447
2011-02-02,3.06199755
2011-02-03,3.63417427
2011-02-04,2.1219609999999998
2011-02-07,3.0258021700000004
2011-02-08,2.937021
2011-02-10,2.47361018
2011-02-11,3.17220093
2011-02-14,2.4329330199999997
2011-02-15,1.93994584
2011-02-16,2.29950715
2011-02-17,2.4615997
2011-02-18,2.55377184
2011-02-22,1.9391490700000003
2011-02-23,1.57907714
2011-02-24,1.79767165
2011-02-25,3.41395877
2011-03-01,1.72355196
2011-03-02,2.33686013
2011-03-03,3.8672684499999996
2011-03-04,3.78852933
2011-03-07,4.159107710000001
2011-03-08,3.5018001099999996
2011-03-09,3.1662980000000003
